id,name,artists,album,release_date,duration_ms,popularity,external_url,genre
5JRYVSZ6K2jY0kznYBmoqr,Wind Up Missin' You,Tucker Wetmore,Wind Up Missin' You,2024-03-29,166040,2,https://open.spotify.com/track/5JRYVSZ6K2jY0kznYBmoqr,Country
36wAwEkSDpNQ4oQeRLYC3L,Am I Okay?,Megan Moroney,Am I Okay?,2024-07-12,235002,77,https://open.spotify.com/track/36wAwEkSDpNQ4oQeRLYC3L,Country
4JSiUsC2iP6ni8SCwIDhyl,Dancing with the devil,Haleigh Martin,State of Mine,2025-08-08,211779,45,https://open.spotify.com/track/4JSiUsC2iP6ni8SCwIDhyl,Country
78DcrUOhBhVod09vFiXn7P,Relapse,Warren Zeiders,Relapse,2024-08-23,158634,75,https://open.spotify.com/track/78DcrUOhBhVod09vFiXn7P,Country
3HlWVKwU0JqJXqJK9DWHnZ,I'm The Problem,Morgan Wallen,I'm The Problem,2025-01-31,177811,75,https://open.spotify.com/track/3HlWVKwU0JqJXqJK9DWHnZ,Country
61SRKyox0R9jCzci4JXKBS,What He'll Never Have,Dylan Scott,Livin' My Best Life (Still),2024-03-29,153906,76,https://open.spotify.com/track/61SRKyox0R9jCzci4JXKBS,Country
0G3fI2EvhLAtBKZ66Tow9V,Young Love & Saturday Nights,Chris Young,Young Love & Saturday Nights,2024-03-22,196373,63,https://open.spotify.com/track/0G3fI2EvhLAtBKZ66Tow9V,Country
1FhgmMvNlh3nJ1Ldc2eE6H,High Road (feat. Jessie Murph),"Koe Wetzel, Jessie Murph",9 Lives,2024-07-19,179413,80,https://open.spotify.com/track/1FhgmMvNlh3nJ1Ldc2eE6H,Country
1osfLqL6L2iQsirRf83ded,Worst Way,Riley Green,Way Out Here,2024-04-12,220558,83,https://open.spotify.com/track/1osfLqL6L2iQsirRf83ded,Country
3En0ScvZzc38uH8SE9Js8q,Your Whiskey,Stephanie Ryann,Your Whiskey,2025-08-08,173473,44,https://open.spotify.com/track/3En0ScvZzc38uH8SE9Js8q,Country
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,Gettin' Old,2023-03-24,265493,82,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT,Country
59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,3 Songs At A Time Sampler,2023-01-31,163854,60,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8,Country
2z5t8IRRtt5vwkSzP9umJo,your place,Ashley Cooke,shot in the dark,2023-07-21,182086,2,https://open.spotify.com/track/2z5t8IRRtt5vwkSzP9umJo,Country
4JEPMdMizbAWlaCtLaTjvT,Heartbreaker,Warren Zeiders,Pretty Little Poison (Deluxe),2024-02-16,222466,0,https://open.spotify.com/track/4JEPMdMizbAWlaCtLaTjvT,Country
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,Pink Skies,2024-05-24,194920,85,https://open.spotify.com/track/4ZJ4vzLQekI0WntDbanNC7,Country
3nhRQUhbbeck8IVzPj0drl,Hell On Women & Horses,Kalyn Beasley,Hell On Women & Horses,2025-08-08,303980,48,https://open.spotify.com/track/3nhRQUhbbeck8IVzPj0drl,Country
1ncsNhJGS3CyT7EEttA3or,Bout Damn Did,Bradley Gaskin,Unfinished Business,2025-04-04,182480,49,https://open.spotify.com/track/1ncsNhJGS3CyT7EEttA3or,Country
0hQyFpC8af9Dj89fEYkXPG,ghost in my guitar (feat. Chris Stapleton),"Alana Springsteen, Chris Stapleton",TWENTY SOMETHING,2023-08-18,200893,64,https://open.spotify.com/track/0hQyFpC8af9Dj89fEYkXPG,Country
67IfTiMwPNN0wQE7Scfzu9,Looking for You,Chris Young,Looking for You + All Dogs Go to Heaven,2023-01-13,179973,60,https://open.spotify.com/track/67IfTiMwPNN0wQE7Scfzu9,Country
3Sg0jiuv2ckmxTBX4tLJQq,Just Like Johnny,Redferrin,Old No. 7,2024-02-16,199392,76,https://open.spotify.com/track/3Sg0jiuv2ckmxTBX4tLJQq,Country
2MmZ8dY74ZaC44NimMxswN,Heartbreak Is My Hometown,Clayton Hackle,Heartbreak Is My Hometown,2025-08-15,206146,0,https://open.spotify.com/track/2MmZ8dY74ZaC44NimMxswN,Country
0mNzElhEofvgMWAJoOA4q9,Pour Me A Drink (Feat. Blake Shelton),"Post Malone, Blake Shelton",F-1 Trillion,2024-08-15,195122,74,https://open.spotify.com/track/0mNzElhEofvgMWAJoOA4q9,Country
2eGvz6O6tVnh9nKiitDEhZ,I Can Feel It,Kane Brown,I Can Feel It,2023-09-21,163600,63,https://open.spotify.com/track/2eGvz6O6tVnh9nKiitDEhZ,Country
7wLShogStyDeZvL0a6daN5,TEXAS HOLD 'EM,Beyoncé,COWBOY CARTER,2024-03-29,233456,74,https://open.spotify.com/track/7wLShogStyDeZvL0a6daN5,Country
5Xv50qxqlr0w9GAcFyDUrH,Ashes,Tori Darke,Ashes,2025-07-31,162773,48,https://open.spotify.com/track/5Xv50qxqlr0w9GAcFyDUrH,Country
5kB6WithhB8Iv08EMNmAbt,Memory Lane,Old Dominion,Memory Lane,2023-01-05,172480,67,https://open.spotify.com/track/5kB6WithhB8Iv08EMNmAbt,Country
3eNOyXmzuA46bUvi8FkIoW,Mamaw's House,"Thomas Rhett, Morgan Wallen",Mamaw's House,2023-09-28,187269,64,https://open.spotify.com/track/3eNOyXmzuA46bUvi8FkIoW,Country
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,274192,89,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,Hip-Hop
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,Doechii,Alligator Bites Never Heal,2024-08-30,159586,81,https://open.spotify.com/track/1eTaznNW4Xxtx9za2SMTXB,Hip-Hop
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,220690,87,https://open.spotify.com/track/0aB0v4027ukVziUGwVGYpG,Hip-Hop
0OA00aPt3BV10qeMIs3meW,Big Dawgs,"Hanumankind, Kalmi",Big Dawgs,2024-07-09,190666,79,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW,Hip-Hop
5xeSd4HgzrYpNLEf3LfYLK,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",GLORIOUS,2024-10-11,149461,77,https://open.spotify.com/track/5xeSd4HgzrYpNLEf3LfYLK,Hip-Hop
3sZQ8L4aptFDJXBqdVdvO8,Run It Up,Hanumankind,Run It Up,2025-03-06,173502,70,https://open.spotify.com/track/3sZQ8L4aptFDJXBqdVdvO8,Hip-Hop
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,GNX,2024-11-22,157992,82,https://open.spotify.com/track/0nj9Bq5sHDiTxSHunhgkFb,Hip-Hop
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,Houdini,2024-05-31,227239,77,https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z,Hip-Hop
2QxekHjOYDnzNO5w8hu2D9,Empty Out Your Pockets,Juice WRLD,The Party Never Ends 2.0,2024-11-30,135653,76,https://open.spotify.com/track/2QxekHjOYDnzNO5w8hu2D9,Hip-Hop
2tudvzsrR56uom6smgOcSf,Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,2024-03-22,267706,83,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf,Hip-Hop
7mOC6phfrfz3jfigg1aGsE,Wanna Be (with Megan Thee Stallion),"GloRilla, Megan Thee Stallion",Ehhthang Ehhthang,2024-04-05,156444,72,https://open.spotify.com/track/7mOC6phfrfz3jfigg1aGsE,Hip-Hop
2Uts1QFB4u2YNIMiqcb4de,peekaboo (feat. azchike),"Kendrick Lamar, AZ Chike",GNX,2024-11-22,155917,79,https://open.spotify.com/track/2Uts1QFB4u2YNIMiqcb4de,Hip-Hop
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,2024-10-28,255915,82,https://open.spotify.com/track/3tFed7YsjGnIfxeLEQwx3R,Hip-Hop
1LjSbD1yQ0RQc6mwxGHw4m,Ms. Whitman,Bhad Bhabie,Ms. Whitman,2025-02-25,126036,72,https://open.spotify.com/track/1LjSbD1yQ0RQc6mwxGHw4m,Hip-Hop
28drn6tQo95MRvO0jQEo5C,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,2024-03-22,228266,81,https://open.spotify.com/track/28drn6tQo95MRvO0jQEo5C,Hip-Hop
4IlbjcbLvNQEzmCI2eXVLP,Went Legit,G Herbo,Greatest Rapper Alive,2025-04-09,140487,64,https://open.spotify.com/track/4IlbjcbLvNQEzmCI2eXVLP,Hip-Hop
